rowid,kepid,tce_plnt_num,tce_rogue_flag,tce_delivname,rowupdate,tce_datalink_dvs,tce_datalink_dvr,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof1,tce_dof2,tce_chisq1,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_nkoi,tce_ioflag,tce_quarters,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tcet_period,tcet_period_err,tcet_time0bk,tcet_time0bk_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_mesmedian,tce_mesmad,tce_maxmes,tce_minmes,tce_maxmesd,tce_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_rmesmad,tce_rsnrmes,tce_rminmes,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,av_vf_pc,av_vf_pc_err,av_vf_afp,av_vf_afp_err,av_vf_ntp,av_vf_ntp_err,av_pp_pc,av_pp_afp,av_pp_ntp,av_training_set,av_pred_class,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,tce_cap_stat,tce_hap_stat,tce_rb_tpdur,tce_rb_tcount0,tce_rb_tcount1,tce_rb_tcount2,tce_rb_tcount3,tce_rb_tcount4,tce_fwm_stat,tce_fwm_sra,tce_fwm_sra_err,tce_fwm_sdec,tce_fwm_sdec_err,tce_fwm_srao,tce_fwm_srao_err,tce_fwm_sdeco,tce_fwm_sdeco_err,tce_fwm_prao,tce_fwm_prao_err,tce_fwm_pdeco,tce_fwm_pdeco_err,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_dikco_mra,tce_dikco_mra_err,tce_dikco_mdec,tce_dikco_mdec_err,tce_dikco_msky,tce_dikco_msky_err
34,2019477,1,,q1_q17_dr24_tce,2015-01-15,002/002019/002019477/dv/kplr002019477-001-20141002224145_dvs.pdf,002/002019/002019477/dv/kplr002019477-20141002224145_dvr.pdf,27.2481,0.00048542400000000003,131.912,0.0153677,2454960.0,0.0153677,0.0082259636,0.017559879,19.496622,184.27158,89.99,5774.0,0.004853,1965.0,10.76,1.035,0.08783,1.855,82.34,8.976,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.3608092,0.45219960000000003,0.038526,-0.12216400000000001,51,mandel-agol_geometric_transit_model,1,9.339,4070.0,5027.0,15.04,663.0,50,474.9,123.4,,,0.7486,1.598,0.1602,1.903e-06,557.0,210.0,,,2,,11111111111111111,5529.0,179.0,4.46,0.46,-0.48,0.36,0.8340000000000001,0.627,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.6935,2.684,-2.835,19.51,2.166,8.445,10.27,0.3427,14.81,0.9093,0.2761,,,,,,,81.464,0.1896,14.0549,0.2179,4.481,0.0948,86.8361,7.1814,5.9825,PC,PC,5.2391e-16,8.9821,-0.29984,1.3177,,,,,,,,,10.75,19.503454,2.58e-05,37.421040999999995,0.000457,-0.3602,1.11,-0.6102,1.65,0.000113,9.11e-05,-0.0001587,0.000136,-1.5922,0.858,-0.88191,1.67,1.8202,1.36,-0.65663,0.811,-1.493,1.56,1.631,1.39
133,2019477,2,,q1_q17_dr24_tce,2015-01-15,002/002019/002019477/dv/kplr002019477-002-20141002224145_dvs.pdf,002/002019/002019477/dv/kplr002019477-20141002224145_dvr.pdf,20.5715,0.000416335,149.246,0.0172589,2454980.0,0.0172589,0.00761598,0.011083411000000001,10.642966,68.20424,88.79,155.2,0.2253,27.39,14.5,0.5442,0.1154,1.658,69.77,6.994,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.3608092,0.45219960000000003,0.038526,-0.12216400000000001,67,mandel-agol_geometric_transit_model,1,9.794,6852.0,8276.0,13.99,832.0,63,554.4,190.3,,,0.6931,1.009,0.1328,1.792e-06,611.0,231.0,,,2,,11111111111111111,5529.0,179.0,4.46,0.46,-0.48,0.36,0.8340000000000001,0.627,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.6997,2.724,-2.995,10.14,11.91,4.841,10.36,0.1125,14.81,0.9454,0.2891,,,,,,,62.7042,0.2067,30.6536,0.204,6.6422,0.1443,66.3485,20.5404,13.1112,PC,PC,1.3755000000000001e-17,8.6657,0.23353000000000002,1.1975,,,,,,,,,14.796,19.503497,2.6e-05,37.421359,0.000458,1.519,1.12,0.5369,1.65,-3.531e-05,7.79e-05,-0.0002145,0.000115,1.683,1.07,-2.8613,1.61,3.3195,1.35,1.6939,0.853,-3.5619,1.55,3.9442,1.16
143,2307415,1,,q1_q17_dr24_tce,2015-01-15,002/002307/002307415/dv/kplr002307415-001-20141002224145_dvs.pdf,002/002307/002307415/dv/kplr002307415-20141002224145_dvr.pdf,4.61264,1.0812699999999999e-05,132.782,0.00168363,2454970.0,0.00168363,0.010959965,0.0031009936,8.88867,12.143805,85.82,13.8,0.6484,1.25,3.075,0.09546,0.05708,0.1739,128.4,4.307,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.408611,0.525457,-0.237465,0.019449,293,mandel-agol_geometric_transit_model,1,30.82,6861.0,8548.0,35.5,3770.0,289,3206.0,668.2,,,1.527,0.4321,0.05591,8.737000000000001e-08,1290.0,149.0,,,2,,11111111111111111,6140.0,135.0,4.26,0.15,0.0,0.1,1.2770000000000001,0.289,SPE58,SPE58,SPE58,DSEP,,,,,,,,,,,,,,,,,,,0.7312,2.712,-2.424,1.069,0.8378,6.539,30.13,0.3241,41.2,1.023,0.08046,,,,,,,98.9853,0.0417,0.994,0.0392,0.0207,0.0081,99.6595,0.3405,0.0,PC,PC,3.383699999999999e-188,7.1895,-0.082879,1.0332,,,,,,,,,5.1982,19.49473,9.8e-06,37.682891,0.000144,-0.3493,0.419,0.2543,0.52,5.272e-05,5.38e-05,-4.469e-05,6.68e-05,0.21401,0.221,0.34558,0.271,0.40648,0.261,0.32544,0.229,0.33507,0.265,0.46711,0.269
144,2307415,2,,q1_q17_dr24_tce,2015-01-15,002/002307/002307415/dv/kplr002307415-002-20141002224145_dvs.pdf,002/002307/002307415/dv/kplr002307415-20141002224145_dvr.pdf,13.1216,4.15948e-05,133.394,0.00256463,2454970.0,0.00256463,0.012920734,0.006703066,28.833370000000002,72.17034,89.8,50.16,0.1,24.99,3.504,0.1879,0.04515,0.2504,199.2,6.838,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.408611,0.525457,-0.237465,0.019449,98,mandel-agol_geometric_transit_model,1,29.08,2619.0,3125.0,35.12,1235.0,94,1003.0,174.4,,,1.801,0.9341,0.1122,2.3719999999999998e-07,914.0,105.0,,,2,,11111111111111111,6140.0,135.0,4.26,0.15,0.0,0.1,1.2770000000000001,0.289,SPE58,SPE58,SPE58,DSEP,,,,,,,,,,,,,,,,,,,0.7705,3.338,-3.142,7.39,3.011,6.329,27.91,0.007705,36.23,1.042,0.1125,,,,,,,99.0448,0.0449,0.9079,0.0479,0.0473,0.0093,99.6854,0.3145,0.0,PC,PC,8.785499999999998e-161,7.2251,-0.075964,1.0369,,,,,,,,,5.7354,19.494745,9.98e-06,37.682631,0.000148,0.3017,0.427,-0.6807,0.532,-4.789e-05,8.51e-05,0.0001169,0.000106,-0.14224,0.2,-0.18609,0.285,0.23422,0.259,-0.039017,0.21,-0.19228,0.29,0.1962,0.292
237,2141783,1,,q1_q17_dr24_tce,2015-01-15,002/002141/002141783/dv/kplr002141783-001-20141002224145_dvs.pdf,002/002141/002141783/dv/kplr002141783-20141002224145_dvr.pdf,116.52,0.00048024699999999994,144.14700000000002,0.00346669,2454980.0,0.00346669,0.023999037,0.03619647,255.06798999999998,1823.4329,89.98,20.83,0.07766,92.2,3.563,1.134,0.08401,1.332,689.8,36.97,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.41666679999999995,0.47760959999999997,-0.15679179999999998,-0.0157966,12,mandel-agol_geometric_transit_model,1,20.58,418.0,421.1,28.12,156.0,11,105.4,27.24,,,3.695,5.573,0.4816,1.323e-06,457.0,56.1,,,1,,11111111111111111,6056.0,125.0,4.18,0.15,0.0,0.12,1.411,0.341,SPE57,SPE57,SPE57,DSEP,,,,,,,,,,,,,,,,,,,0.6871,4.068,-5.019,41.36,-6.709,7.093999999999999,19.66,0.1356,28.61,1.047,0.2553,,,,,,,92.8017,0.1513,6.482,0.1375,0.7163,0.0357,96.4504,2.7362,0.8134,PC,PC,1.0222e-83,7.1927,0.072226,1.0122,,,,,,,,,18.954,19.091329,1.11e-05,37.552516,0.000179,-0.1934,0.473,-0.01552,0.644,-0.0001092,0.000335,-0.001028,0.000454,0.32517,0.17,-0.18123,0.23,0.37226,0.186,0.32304,0.165,-0.25481,0.221,0.41144,0.189
320,2860656,1,,q1_q17_dr24_tce,2015-01-15,002/002860/002860656/dv/kplr002860656-001-20141002224145_dvs.pdf,002/002860/002860656/dv/kplr002860656-20141002224145_dvr.pdf,4.11492,2.99028e-05,135.327,0.00539338,2454970.0,0.00539338,0.013360273,0.011983167,6.3937018,27.652418,82.9,50.16,0.79,2.138,3.12,0.5372,0.1071,1.041,174.7,17.4,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.3844086,0.5367432,-0.2035958,-0.0047986,280,mandel-agol_geometric_transit_model,1,11.11,6512.0,8010.0,10.99,3549.0,272,2206.0,359.3,,,1.351,1.212,0.05039,2.441e-07,1140.0,244.0,,,1,,11111111111111,6011.0,209.0,4.51,0.3,-0.18,0.3,0.927,0.39299999999999996,KIC0,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.7103,2.529,-4.885,2.8,0.9545,4.522,10.7,1.727,15.06,1.039,0.4567,,,,,,,81.0923,0.2566,16.6981,0.2165,2.2096,0.0822,85.5468,8.7385,5.7146,PC,PC,9.440599999999999e-26,7.1849,-0.10852,1.0362,,,,,,,,,0.27906,19.545057,2.69e-05,38.041948,0.000279,0.2012,1.14,-0.258,1.0,-1.484e-05,0.0002,-4.835e-05,0.000176,1.2236,1.23,-0.11634,0.425,1.2291,1.21,1.0801,1.15,0.081704,0.251,1.0832,1.15
364,2717158,1,,q1_q17_dr24_tce,2015-01-15,002/002717/002717158/dv/kplr002717158-001-20141002224145_dvs.pdf,002/002717/002717158/dv/kplr002717158-20141002224145_dvr.pdf,13.2226,0.00013460299999999999,144.298,0.00812161,2454980.0,0.00812161,0.018293701000000002,0.0034567327000000004,10.355876,9.542992,84.85,5.522,0.9304,0.137,4.037,0.8247,0.4868,0.9989,268.3,24.92,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.36345500000000003,0.5780124,-0.2336696,0.0030384,98,mandel-agol_geometric_transit_model,1,11.48,3055.0,3610.0,12.99,1248.0,95,694.7,158.9,,,1.719,0.3248,0.1077,7.31e-07,740.0,140.0,,,1,,11111111111111111,5933.0,169.0,4.55,0.27,-0.28,0.28,0.861,0.322,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.6796,2.776,-3.221,6.411,0.969,7.235,11.91,0.06596,17.53,0.9633,0.2704,,,,,,,98.3101,0.0469,1.5803,0.0493,0.1095,0.0199,99.3194,0.4961,0.1845,PC,PC,6.2476e-31,7.2823,-0.017473,1.037,,,,,,,,,5.8541,19.488667,2.65e-05,37.996765,0.00028,-0.9882,1.13,-1.063,1.01,0.0003752,0.000303,0.0001083,0.000272,0.11421,0.84,0.87901,1.1,0.88639,1.15,0.35807,0.763,0.68815,1.07,0.77573,1.09
369,2860866,1,,q1_q17_dr24_tce,2015-01-15,002/002860/002860866/dv/kplr002860866-001-20141002224145_dvs.pdf,002/002860/002860866/dv/kplr002860866-20141002224145_dvr.pdf,90.1249,0.000420876,175.979,0.00375216,2455010.0,0.00375216,0.058699880999999995,0.0009745719,38.779711,2.2286649,88.83,0.108,0.7885,0.02791,12.54,0.2056,1.695,0.2182,3385.0,71.29,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.4061364,0.6277111999999999,-0.448726,0.1169808,13,mandel-agol_geometric_transit_model,1,50.14,1501.0,1638.0,100.8,169.0,12,343.6,116.0,,,7.687,0.1276,0.4237,1.319e-06,478.0,163.0,,,1,,11111111111111,6444.0,255.0,4.38,0.37,0.07,0.37,1.2,0.8109999999999999,KIC0,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.722,3.495,-3.153,16.56,66.4,21.21,50.1,0.1164,69.4,1.001,0.06292,,,,,,,66.4547,0.2518,33.1904,0.2461,0.3549,0.021,73.2354,23.3755,3.3891,PC,PC,7.968199999999996e-288,8.7029,-1.3154,1.4189,,,,,,,,,218.71,19.548225,2.7e-06,38.033588,2.13e-05,-1.476,0.115,0.028,0.0768,-0.002517,0.000792,0.001304,0.000913,0.1927,0.154,-0.094388,0.29,0.21457,0.188,-0.16498,0.377,0.078488,0.261,0.1827,0.442
424,1718189,2,,q1_q17_dr24_tce,2015-01-15,001/001718/001718189/dv/kplr001718189-002-20141002224145_dvs.pdf,001/001718/001718189/dv/kplr001718189-20141002224145_dvr.pdf,13.0607,6.4895e-05,137.635,0.00404675,2454970.0,0.00404675,0.016368054,0.008215325,18.672786,43.9942,87.47,8.837,0.8239,0.9362,3.18,0.6528,0.1543,0.8113,253.0,14.55,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.441612,0.302172,0.130732,-0.142368,101,mandel-agol_geometric_transit_model,1,18.81,2720.0,3189.0,19.47,1287.0,98,736.8,173.4,,,1.565,0.7853,0.1075,3.56e-07,734.0,138.0,,,3,,11111111111111111,5830.0,158.0,4.54,0.27,-0.14,0.28,0.8759999999999999,0.325,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.7048,3.964,-3.398,-1.655,-1.458,5.132999999999999,18.06,0.346,25.62,1.042,0.1882,,,,,,,91.964,0.1025,7.3072,0.1213,0.7288,0.0404,95.8049,3.2913,0.9038,PC,PC,1.3934999999999996e-66,7.3974,0.016413,1.0491,,,,,,,,,10.369,19.381922,1.78e-05,37.252803,0.000213,0.4898,0.765,0.5522,0.768,-8.048e-05,0.000194,-0.0003367,0.000195,-0.22792,0.548,-0.72814,0.237,0.76297,0.297,-0.056246,0.459,-0.68107,0.24,0.68338,0.313
430,1996180,1,,q1_q17_dr24_tce,2015-01-15,001/001996/001996180/dv/kplr001996180-001-20141002224145_dvs.pdf,001/001996/001996180/dv/kplr001996180-20141002224145_dvr.pdf,3.0255799999999997,1.06566e-05,134.368,0.00221588,2454970.0,0.00221588,0.010408194,0.005323528,7.5107058,18.272121,87.7,63.18,0.3008,7.543,2.968,0.08511,0.03359,0.1827,126.9,6.497,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.3999884,0.5484292,-0.269972,0.034743199999999995,437,mandel-agol_geometric_transit_model,1,21.4,10070.0,12230.0,23.84,5551.0,426,4123.0,833.7,,,1.434,0.7337,0.04183,9.823e-08,1480.0,156.0,,,2,,11111111111111111,6123.0,131.0,4.26,0.14,-0.06,0.13,1.263,0.26,SPE58,SPE58,SPE58,DSEP,,,,,,,,,,,,,,,,,,,0.6407,1.654,-2.273,1.602,1.411,5.367999999999999,20.75,0.2451,32.39,1.031,0.1095,,,,,,,98.3822,0.0676,1.4155,0.0721,0.2023,0.0305,99.3782,0.4529,0.1689,PC,PC,1.0521999999999997e-87,7.2949,-0.1149,1.053,,,,,,,,,5.3324,19.089622,1.36e-05,37.411671999999996,0.000174,0.1114,0.583,-1.074,0.628,-8.988e-05,7.41e-05,1.4359999999999999e-06,7.98e-05,0.20444,0.217,0.20344,0.283,0.28842,0.252,0.14789,0.211,0.088063,0.26,0.17212,0.253
