rowid,kepid,tce_plnt_num,tce_rogue_flag,tce_delivname,rowupdate,tce_datalink_dvs,tce_datalink_dvr,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof1,tce_dof2,tce_chisq1,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_nkoi,tce_ioflag,tce_quarters,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tcet_period,tcet_period_err,tcet_time0bk,tcet_time0bk_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_mesmedian,tce_mesmad,tce_maxmes,tce_minmes,tce_maxmesd,tce_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_rmesmad,tce_rsnrmes,tce_rminmes,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,av_vf_pc,av_vf_pc_err,av_vf_afp,av_vf_afp_err,av_vf_ntp,av_vf_ntp_err,av_pp_pc,av_pp_afp,av_pp_ntp,av_training_set,av_pred_class,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,tce_cap_stat,tce_hap_stat,tce_rb_tpdur,tce_rb_tcount0,tce_rb_tcount1,tce_rb_tcount2,tce_rb_tcount3,tce_rb_tcount4,tce_fwm_stat,tce_fwm_sra,tce_fwm_sra_err,tce_fwm_sdec,tce_fwm_sdec_err,tce_fwm_srao,tce_fwm_srao_err,tce_fwm_sdeco,tce_fwm_sdeco_err,tce_fwm_prao,tce_fwm_prao_err,tce_fwm_pdeco,tce_fwm_pdeco_err,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_dikco_mra,tce_dikco_mra_err,tce_dikco_mdec,tce_dikco_mdec_err,tce_dikco_msky,tce_dikco_msky_err
133,2019477,2,,q1_q17_dr24_tce,2015-01-15,002/002019/002019477/dv/kplr002019477-002-20141002224145_dvs.pdf,002/002019/002019477/dv/kplr002019477-20141002224145_dvr.pdf,20.5715,0.000416335,149.246,0.0172589,2454980.0,0.0172589,0.00761598,0.011083411000000001,10.642966,68.20424,88.79,155.2,0.2253,27.39,14.5,0.5442,0.1154,1.658,69.77,6.994,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.3608092,0.45219960000000003,0.038526,-0.12216400000000001,67,mandel-agol_geometric_transit_model,1,9.794,6852.0,8276.0,13.99,832.0,63,554.4,190.3,,,0.6931,1.009,0.1328,1.792e-06,611.0,231.0,,,2,,11111111111111111,5529.0,179.0,4.46,0.46,-0.48,0.36,0.8340000000000001,0.627,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.6997,2.724,-2.995,10.14,11.91,4.841,10.36,0.1125,14.81,0.9454,0.2891,,,,,,,62.7042,0.2067,30.6536,0.204,6.6422,0.1443,66.3485,20.5404,13.1112,PC,PC,1.3755000000000001e-17,8.6657,0.23353000000000002,1.1975,,,,,,,,,14.796,19.503497,2.6e-05,37.421359,0.000458,1.519,1.12,0.5369,1.65,-3.531e-05,7.79e-05,-0.0002145,0.000115,1.683,1.07,-2.8613,1.61,3.3195,1.35,1.6939,0.853,-3.5619,1.55,3.9442,1.16
320,2860656,1,,q1_q17_dr24_tce,2015-01-15,002/002860/002860656/dv/kplr002860656-001-20141002224145_dvs.pdf,002/002860/002860656/dv/kplr002860656-20141002224145_dvr.pdf,4.11492,2.99028e-05,135.327,0.00539338,2454970.0,0.00539338,0.013360273,0.011983167,6.3937018,27.652418,82.9,50.16,0.79,2.138,3.12,0.5372,0.1071,1.041,174.7,17.4,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.3844086,0.5367432,-0.2035958,-0.0047986,280,mandel-agol_geometric_transit_model,1,11.11,6512.0,8010.0,10.99,3549.0,272,2206.0,359.3,,,1.351,1.212,0.05039,2.441e-07,1140.0,244.0,,,1,,11111111111111,6011.0,209.0,4.51,0.3,-0.18,0.3,0.927,0.39299999999999996,KIC0,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.7103,2.529,-4.885,2.8,0.9545,4.522,10.7,1.727,15.06,1.039,0.4567,,,,,,,81.0923,0.2566,16.6981,0.2165,2.2096,0.0822,85.5468,8.7385,5.7146,PC,PC,9.440599999999999e-26,7.1849,-0.10852,1.0362,,,,,,,,,0.27906,19.545057,2.69e-05,38.041948,0.000279,0.2012,1.14,-0.258,1.0,-1.484e-05,0.0002,-4.835e-05,0.000176,1.2236,1.23,-0.11634,0.425,1.2291,1.21,1.0801,1.15,0.081704,0.251,1.0832,1.15
364,2717158,1,,q1_q17_dr24_tce,2015-01-15,002/002717/002717158/dv/kplr002717158-001-20141002224145_dvs.pdf,002/002717/002717158/dv/kplr002717158-20141002224145_dvr.pdf,13.2226,0.00013460299999999999,144.298,0.00812161,2454980.0,0.00812161,0.018293701000000002,0.0034567327000000004,10.355876,9.542992,84.85,5.522,0.9304,0.137,4.037,0.8247,0.4868,0.9989,268.3,24.92,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.36345500000000003,0.5780124,-0.2336696,0.0030384,98,mandel-agol_geometric_transit_model,1,11.48,3055.0,3610.0,12.99,1248.0,95,694.7,158.9,,,1.719,0.3248,0.1077,7.31e-07,740.0,140.0,,,1,,11111111111111111,5933.0,169.0,4.55,0.27,-0.28,0.28,0.861,0.322,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.6796,2.776,-3.221,6.411,0.969,7.235,11.91,0.06596,17.53,0.9633,0.2704,,,,,,,98.3101,0.0469,1.5803,0.0493,0.1095,0.0199,99.3194,0.4961,0.1845,PC,PC,6.2476e-31,7.2823,-0.017473,1.037,,,,,,,,,5.8541,19.488667,2.65e-05,37.996765,0.00028,-0.9882,1.13,-1.063,1.01,0.0003752,0.000303,0.0001083,0.000272,0.11421,0.84,0.87901,1.1,0.88639,1.15,0.35807,0.763,0.68815,1.07,0.77573,1.09
586,2303903,1,,q1_q17_dr24_tce,2015-01-15,002/002303/002303903/dv/kplr002303903-001-20141002224145_dvs.pdf,002/002303/002303903/dv/kplr002303903-20141002224145_dvr.pdf,3.7085199999999996,2.02477e-05,134.488,0.00346061,2454970.0,0.00346061,0.015474753999999999,0.030321663,17.838925,141.38603,89.67,250.9,0.1024,77.3,1.605,0.3431,0.02471,0.4419,292.9,34.98,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.5216628,-0.09578880000000001,0.71541,-0.375942,358,mandel-agol_geometric_transit_model,1,9.987,4390.0,5430.0,10.4,4628.0,355,2504.0,480.2,,,1.31,2.568,0.04457,1.6219999999999998e-07,999.0,162.0,,,1,,11111111111111111,5425.0,177.0,4.59,0.2,-0.18,0.32,0.7759999999999999,0.247,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.6712,2.808,-3.408,1.084,2.071,5.598,9.962,11.81,14.84,1.003,0.3421,,,,,,,72.9,0.2174,21.3818,0.1319,5.7182,0.1128,78.8437,12.4173,8.739,PC,PC,1.4575e-21,7.3985,-0.018522999999999998,1.0544,,,,,,,,,8.3303,19.44282,3.58e-05,37.632531,0.000356,-1.8,1.53,0.4347,1.28,0.000577,0.000449,-0.0003111,0.000377,1.0987,0.784,-0.78372,0.398,1.3496,0.784,1.0523,0.76,-0.69816,0.418,1.2628,0.76
693,2438264,1,,q1_q17_dr24_tce,2015-01-15,002/002438/002438264/dv/kplr002438264-001-20141002224145_dvs.pdf,002/002438/002438264/dv/kplr002438264-20141002224145_dvr.pdf,15.9069,2.55737e-05,146.11700000000002,0.00131999,2454980.0,0.00131999,0.028224575,0.008426019,28.680797,29.401442,89.17,4.995,0.4167,2.073,3.983,0.2313,0.1316,0.3116,956.3,16.74,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.6422908,-0.5341395999999999,1.2328068,-0.532274,86,mandel-agol_geometric_transit_model,1,57.58,2590.0,3196.0,67.07,1118.0,85,1003.0,235.1,,,2.455,0.7328,0.1163,1.247e-07,588.0,25.0,,,2,,11111111111111111,5096.0,106.0,4.55,0.06,0.08,0.16,0.797,0.059000000000000004,SPE58,SPE58,SPE58,DSEP,,,,,,,,,,,,,,,,,,,0.6304,2.633,-3.228,-0.7016,-0.8855,11.14,54.35,6.039,86.21,1.059,0.0594,,,,,,,99.042,0.0857,0.8931,0.074,0.0649,0.0161,99.6879,0.3103,0.0019,PC,PC,0.0,7.3728,-0.021495,1.0499,,,,,,,,,26.562,19.353089,3.24e-06,37.749295000000004,4.39e-05,-0.4791,0.138,-0.7012,0.158,0.000347,0.00014,-0.0001642,0.000162,-0.086757,0.0884,0.01595,0.109,0.088211,0.0923,-0.23538,0.0889,-0.27589,0.111,0.36265,0.103
716,2853780,1,,q1_q17_dr24_tce,2015-01-15,002/002853/002853780/dv/kplr002853780-001-20141002224145_dvs.pdf,002/002853/002853780/dv/kplr002853780-20141002224145_dvr.pdf,6.214169999999999,2.74857e-05,132.249,0.00337594,2454970.0,0.00337594,0.012918813999999999,0.0021789644,3.4273855,2.0657272,77.94,15.13,0.7164,0.4531,9.919,0.2761,0.2565,0.3687,172.7,4.991,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.6070215999999999,-0.3396648,0.9841038000000001,-0.4605374,218,mandel-agol_geometric_transit_model,1,36.47,16130.0,19090.0,44.43,2730.0,209,2590.0,626.3,,,4.443,0.7495,0.07574,2.233e-07,1510.0,386.0,,,2,,11111111111111111,5295.0,211.0,3.62,0.48,0.02,0.36,3.1519999999999997,1.594,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,1.06,2.9,-4.129,2.915,0.8037,6.819,33.02,8.304,31.14,1.105,0.1251,,,,,,,62.908,0.2528,30.4408,0.2541,6.6512,0.1186,66.6385,20.3222,13.0392,PC,PC,1.2731999999999995e-203,7.4997,-0.17502,1.0909,,,,,,,,,7.0734,19.448615,6.08e-06,38.069989,8.93e-05,0.1718,0.258,-0.112,0.321,-3.307e-05,4.47e-05,-6.702e-05,5.56e-05,-0.40254,0.211,0.46372,0.2,0.61407,0.212,-0.50748,0.23,0.17127,0.205,0.5356,0.231
1619,3641726,1,,q1_q17_dr24_tce,2015-01-15,003/003641/003641726/dv/kplr003641726-001-20141002224145_dvs.pdf,003/003641/003641726/dv/kplr003641726-20141002224145_dvr.pdf,9.0293,1.62569e-05,132.058,0.00139471,2454970.0,0.00139471,0.031859088,0.008298314000000001,16.725092,16.822971,87.63,5.057,0.6906,0.7803,3.162,0.3308,0.1817,0.4171,1067.0,22.22,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.5534544,-0.20520120000000003,0.8466716000000001,-0.4186428,146,mandel-agol_geometric_transit_model,1,52.22,3774.0,4370.0,53.28,1859.0,142,1191.0,214.8,,,2.851,0.7425,0.07956,9.548999999999999e-08,758.0,135.0,,,1,,11111111111111111,5349.0,187.0,4.53,0.22,-0.12,0.33,0.82,0.287,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.7078,3.333,-3.771,5.558,0.5313,7.234,48.68,0.07461,68.78,1.073,0.07745,,,,,,,99.0962,0.0729,0.9038,0.0729,0.0,0.0,99.6868,0.3132,0.0,PC,PC,0.0,7.3853,0.00034146,1.0491,,,,,,,,,32.212,19.355576,5.83e-06,38.728316,6.89e-05,0.02974,0.246,0.3099,0.248,-0.0007715,0.000271,-2.065e-05,0.000278,0.23928,0.114,0.18904,0.14,0.30495,0.129,-0.072725,0.124,0.28676,0.129,0.29584,0.125
1920,4813750,1,,q1_q17_dr24_tce,2015-01-15,004/004813/004813750/dv/kplr004813750-001-20141002224145_dvs.pdf,004/004813/004813750/dv/kplr004813750-20141002224145_dvr.pdf,49.1789,0.00072258,165.76,0.0124046,2455000.0,0.0124046,0.02016749,0.04074176,58.32379399999999,546.50635,89.55,20.38,0.4548,16.48,5.882,2.553,0.1459,3.04,466.6,56.52,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.3058364,0.683772,-0.29651859999999997,0.017947400000000002,21,mandel-agol_geometric_transit_model,1,8.479,965.7,1139.0,9.261000000000001,234.0,17,130.0,23.41,,,1.846,3.73,0.2401,2.352e-06,468.0,111.0,,,1,,1110111011101110,5674.0,181.0,4.47,0.29,-0.54,0.34,0.8390000000000001,0.39399999999999996,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.6972,3.519,-3.307,10.53,24.54,6.2860000000000005,7.731,0.8017,11.09,1.097,0.4277,,,,,,,81.7499,0.2274,3.6992,0.1293,14.5509,0.1581,86.5985,4.0486,9.3529,PC,PC,1.7668e-12,7.8287,-0.12532000000000001,1.1288,,,,,,,,,5.1867,18.911863,4.28e-05,39.964791999999996,0.000416,-0.667,1.77,1.844,1.5,0.0001336,0.00083,-0.0008907,0.000705,-0.08832,0.522,-0.15541,0.674,0.17875,0.64,-0.34459,0.477,-0.070264,0.545,0.35169,0.615
2531,4770174,1,,q1_q17_dr24_tce,2015-01-15,004/004770/004770174/dv/kplr004770174-001-20141002224145_dvs.pdf,004/004770/004770174/dv/kplr004770174-20141002224145_dvr.pdf,6.096019999999999,3.38139e-05,134.588,0.0041389,2454970.0,0.0041389,0.0075258781,0.002406904,8.1916555,12.590058,86.33,20.9,0.5244,2.176,4.891,0.1323,0.05025,0.1723,63.41,4.347,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.4920776,0.3739268,-0.1139716,-0.020163999999999998,222,mandel-agol_geometric_transit_model,1,14.73,8909.0,10550.0,24.68,2808.0,215,4262.0,1342.0,,,1.205,0.3853,0.07178,2.654e-07,1260.0,170.0,,,2,,11111111111111111,6313.0,150.0,4.23,0.17,0.32,0.1,1.4669999999999999,0.39,SPE59,SPE59,SPE59,DSEP,,,,,,,,,,,,,,,,,,,0.5068,2.374,-2.101,-1.519,4.366,5.482,13.77,4.113,27.18,1.07,0.1525,,,,,,,88.8399,0.1321,8.9933,0.1348,2.1668,0.0806,92.6019,4.2262,3.1719,PC,PC,9.271099999999999e-43,7.0841,-0.034524,1.0112,,,,,,,,,1.0879,19.826245999999998,1.7e-05,39.82917,0.000195,-0.03869,0.704,0.4664,0.701,-3.775e-06,4.46e-05,-2.366e-05,4.45e-05,-0.17064,0.72,-0.38357,0.748,0.41981,0.923,-0.061872,0.721,-0.2251,0.748,0.23344,0.973
2547,4914566,1,,q1_q17_dr24_tce,2015-01-15,004/004914/004914566/dv/kplr004914566-001-20141002224145_dvs.pdf,004/004914/004914566/dv/kplr004914566-20141002224145_dvr.pdf,22.242,0.000233921,144.72299999999998,0.00907044,2454980.0,0.00907044,0.0074698075,0.00865551,23.192816,127.41966,89.69,110.2,0.1241,43.94,7.325,0.4009,0.05515,0.6724,66.77,5.643,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.3722752,0.6160908,-0.33330640000000006,0.0606528,61,mandel-agol_geometric_transit_model,1,12.37,3384.0,4096.0,15.82,754.0,57,447.5,248.8,,,1.764,2.044,0.1654,1.16e-06,954.0,133.0,,,1,,11111111111111111,5979.0,130.0,3.85,0.21,-0.12,0.2,2.164,0.598,SPE59,SPE59,SPE59,DSEP,,,,,,,,,,,,,,,,,,,0.6739,2.988,-3.141,2.438,13.28,5.894,12.64,0.03964,18.76,0.9781,0.2484,,,,,,,96.9897,0.0817,2.9074,0.0766,0.103,0.0171,98.8182,0.8682,0.3137,PC,PC,4.0448e-33,7.409,-0.1262,1.0703,,,,,,,,,1.3737,19.268857999999998,1.86e-05,40.086975,0.000212,-0.4317,0.768,0.3045,0.762,2.876e-05,5.13e-05,-1.32e-05,5.09e-05,0.31888,0.242,-0.80804,0.818,0.86868,0.731,0.39324,0.266,-0.71506,0.868,0.81606,0.777
